      HaloID      x[Mpc/h]     y[MPc/h]     z[MPc/h] m500c[Msol]    Avail[0/1]  Files_1 Files_2 Files_3 Files_4
          43      203.310      6.65789      1653.80  1.34935e+15       0        4454
          44      495.355      2368.00      153.896  1.14782e+15       0        5868
          45      291.659      2491.09      1260.62  1.03543e+15       0         171        2547
          46      2483.84      2069.17      2249.08  1.17437e+15       0        3345
          47      781.423      1514.56      785.539  1.03276e+15       0        2124        4916
          48      2132.52      75.2237      2565.65  6.38388e+14       0        2476
          49      209.526      2530.18      1616.21  1.05815e+15       0         688
          50      1011.31      2117.28      2218.23  1.14152e+15       0        3708
          51      271.009      2211.08      344.990  1.28274e+15       0        4704
          52      1930.89      358.376      174.006  5.95695e+14       0        5026
          53      2307.71      575.166      1534.94  5.50137e+14       0         167
          55      202.284      743.239      723.101  1.27664e+15       0         324
          56      2550.52      1263.72      653.705  9.75504e+14       0        4398
          57      1926.53      1345.04      1797.43  1.47940e+15       0         300        4884
          58      2184.26      758.661      1290.68  1.00817e+15       0         729        3032
          59      644.984      879.529      1537.56  1.01708e+15       0        3197
          60      1566.02      1203.26      1467.94  1.01761e+15       0        1502        2783
          61      1565.15      977.223      2596.19  9.68665e+14       0        3298
          62      1625.50      1094.75      2492.94  1.28806e+15       0        4345
          63      1878.22      1972.28      1463.38  1.01219e+15       0        2447
          66      693.504      2151.63      644.381  1.08515e+15       0        4922
          67      1735.87      632.132      637.429  1.11680e+15       0         283
          68      2474.27      2568.10      2153.72  7.26527e+14       0        3092
          69      201.115      370.495      2379.03  9.10851e+14       0        2591
          70      2073.59      1256.24      460.863  6.63759e+14       0         604
          71      2115.09      2062.90      1614.54  9.92032e+14       0        1628
          72      99.5522      1503.09      1917.73  7.61642e+14       0        2193
          73      2519.36      1652.11      1632.38  1.13857e+15       0        3242        4315
          74      2330.38      1538.24      921.557  1.11470e+15       0         383        1554
          75      1726.81      101.402      642.940  9.02578e+14       0        3552
          77      431.108      2377.40      114.680  9.74079e+14       0        5868
          78      1974.98      2227.76      1249.74  9.04452e+14       0        3010        3538
          79      2384.62      1766.70      2218.39  1.10806e+15       0         182        2841
          81      82.6239      1991.01      1627.49  8.28585e+14       0        5983
          82      184.203      2048.67      2519.63  9.92567e+14       0         105        2419
          83      589.795      736.190      2561.31  1.01324e+15       0        4353
          84      42.8848      1387.18      1823.38  5.48756e+14       0        1375
          85      1049.05      511.522      1732.69  1.02260e+15       0        5978
          86      1108.96      1456.93      1842.86  7.01529e+14       0        3987
          87      1847.13      573.874      742.686  9.44199e+14       0        3733        3930
          88      2031.65      580.560      726.589  9.35918e+14       0         191
          89      546.781      439.625      360.897  1.04984e+15       0         607
          91      1662.50      398.087      2244.15  9.88029e+14       0        4361
          92      2377.10      1168.40      2458.49  7.68960e+14       0         422
          94      268.779      1552.92      1311.49  8.75880e+14       0          14
          95      859.659      132.253      969.929  9.41829e+14       0        5028
          96      2103.93      255.930      1507.55  1.05185e+15       0        1631
          97      966.021      1859.95      1906.42  1.25439e+15       0        3120        4545
          98      638.396      1168.97      210.632  7.20944e+14       0        3406
          99      1499.14      1483.75      8.58066  7.42896e+14       0         733
         100      313.537      2454.35      682.672  1.23879e+15       0        4719
         101      2429.88      1387.57      604.612  8.88430e+14       0        4105
         102      101.985      1424.92      2453.06  8.54779e+14       0        3771
         103      2008.29      1878.95      824.504  1.07296e+15       0        2594
         104      2546.83      1134.62      1414.51  8.46688e+14       0        5799
         105      783.514      742.116      623.417  9.07853e+14       0        1160
         106      86.0933      885.369      701.329  1.02762e+15       0        1593
         107      1265.22      639.138      1005.14  1.05425e+15       0        1301
         108      242.705      2666.02      1979.58  6.50566e+14       0        2792
         109      2366.05      608.784      1712.17  9.64367e+14       0        5449
         111      1892.17      2145.12      1478.92  9.34833e+14       0        3018        5649
         112      942.058      2380.68      2104.14  8.27181e+14       0        5092
         113      486.758      140.061      241.304  9.72126e+14       0        5411
         114      769.268      1350.16      2203.68  7.83939e+14       0        4767
         116      1077.44      732.258      1416.36  8.76791e+14       0         188
         117      1926.70      604.369      153.915  9.85933e+14       0        2744
         119      199.889      1066.54      254.741  8.96359e+14       0        5488
         120      2114.51      2097.34      222.208  1.17033e+15       0         824
         121      255.187      1430.46      2461.16  6.47669e+14       0        3038
         123      189.791      2216.65      658.060  9.78876e+14       0        5270
         124      1237.34      1407.13      2466.81  9.90074e+14       0         485
         125      448.684      1479.89      1143.38  8.76581e+14       0        3439
         126      385.652      2099.09      823.687  9.99325e+14       0        5017
         128      216.090      1582.66      979.732  8.08224e+14       0        4638
         129      1791.87      2324.18      295.372  8.26703e+14       0        2507
         131      418.250      912.676      1416.70  9.16462e+14       0        2258        2383
         132      2174.51      2686.34      2188.13  8.66946e+14       0        3306
         134      721.014      1696.64      1447.17  1.14831e+15       0        3404
         135      1291.84      2453.28      1089.74  6.91989e+14       0        1155        2213
         136      693.471      1553.19      1113.36  9.24509e+14       0        1495
         137      722.351      896.864      1795.84  9.87803e+14       0        5574
         138      1194.62      1988.65      1509.03  7.67101e+14       0        5563
         139      1102.12      2488.41      507.770  6.92376e+14       0        1067
         140      736.833      1824.48      1842.77  9.65902e+14       0         376
         141      382.403      281.408      2114.68  6.89431e+14       0        5342
         142      2021.66      601.979      1488.07  5.31333e+14       0        4682
         143      1454.01      382.349      1710.14  1.10388e+15       0        4574
         145      88.9654      957.239      141.758  8.16891e+14       0        3221
         146      505.792      263.019      1382.83  8.52685e+14       0          86
         147      20.3422      7.40348      1086.06  1.14693e+15       0        3384
         150      2564.68      619.097      627.148  1.00790e+15       0         935        4501
         152      2580.49      2238.75      720.872  8.38784e+14       0        4146
         153      377.091      2605.41      1447.26  8.30584e+14       0        4099        4356
         154      1772.56      1754.82      977.710  7.31001e+14       0        1347
         155      2120.65      1638.01      316.170  9.34251e+14       0        2315
         156      2523.12      1492.52      1168.44  1.16483e+15       0        1942        3343
         157      1551.18      1074.28      2255.68  9.67352e+14       0        4207
         158      1161.19      2314.42      2431.26  9.86314e+14       0        1751
         159      1588.79      282.137      625.395  9.45582e+14       0         741
         160      723.689      2201.69      530.720  8.19252e+14       0        1692
         161      1256.02      1594.03      1940.19  6.12844e+14       0        3311
         162      410.470      89.0700      2321.73  7.18636e+14       0         939
         163      68.1222      1823.05      608.927  8.80929e+14       0         760
         164      392.053      1135.39      1797.04  1.04713e+15       0         595
         165      288.238      543.375      490.452  1.11355e+15       0        3308
         166      283.333      2375.07      1514.08  8.93872e+14       0        3714        5829
         167      616.816      2506.83      1426.55  8.19090e+14       0        1270        1525
         168      2142.87      389.704      1247.41  1.00831e+15       0        5365
         169      2106.49      2662.40      1978.07  7.48770e+14       0        5096
         170      821.851      2143.91      4.35350  6.78259e+14       0        2562
         171      473.375      326.282      1316.21  9.05318e+14       0        1078
         173      736.721      1822.33      1777.03  6.64987e+14       0         376
         174      45.3592      2259.08      1161.05  1.11159e+15       0        3902
         175      130.684      2246.13      422.700  6.30872e+14       0        5383
         176      2412.23      1545.07      2212.38  5.04286e+14       0        4296
         177      1791.26      204.260      728.684  8.70731e+14       0         824
         179      267.615      1887.17      2069.51  8.14046e+14       0        5004
         180      1139.09      1280.84      330.370  9.19847e+14       0        1036
         181      2608.11      1537.53      181.509  6.55498e+14       0        4890
         182      2648.76      2420.62      458.406  7.56506e+14       0        1830
         183      410.414      841.160      1904.11  7.73698e+14       0          37
         184      1554.11      982.448      2010.10  7.74359e+14       0        5324
         185      1631.92      797.494      1279.90  1.02204e+15       0        2495
         187      2389.32      2381.48      1890.24  7.15812e+14       0        1520
         188      2432.94      897.910      2137.88  8.70237e+14       0         591
         189      641.176      1356.03      1864.41  6.71139e+14       0        4016
         191      2000.64      116.005      1474.18  6.68133e+14       0        6024
         192      2468.34      149.648      854.650  9.23522e+14       0        2165
         193      1058.99      1911.90      2351.75  8.56992e+14       0         394        1797
         194      565.320      1269.01      1147.03  8.40556e+14       0        5033
         196      2665.70      844.699      1660.35  7.15471e+14       0        1405
         197      2568.83      1322.91      2402.70  6.39095e+14       0        1935
         198      2284.25      1482.86      88.9666  7.86361e+14       0        3209
         199      1506.21      1417.51      1310.21  8.60075e+14       0        4196
         200      1086.60      1450.24      2537.92  8.80392e+14       0        3320
         201      545.191      1593.68      166.308  6.81140e+14       0         999        3923
         202      2073.63      1544.85      606.312  7.93460e+14       0         939
         203      2417.56      862.562      659.249  1.08008e+15       0         555
         204      1953.77      2342.33      685.258  9.27907e+14       0         303
         205      945.855      2450.62      733.958  9.44708e+14       0        4135
         206      2121.06      2550.43      1714.74  6.95972e+14       0         618
         207      454.307      1024.34      258.567  8.67044e+14       0        4140
         208      546.417      1312.37      821.686  7.98600e+14       0           8
         209      209.689      807.220      1828.68  8.41144e+14       0         710
         210      910.121      612.422      1319.90  5.89943e+14       0         664
         211      773.658      997.243      2580.99  5.79911e+14       0        5781
         212      2389.98      431.790      1996.47  9.08983e+14       0        1227
         213      470.765      2393.22      2127.20  5.94979e+14       0         784
         214      920.595      14.0321      283.285  9.07584e+14       0         479
         215      782.571      1858.89      2165.33  7.34220e+14       0        2768
         216      654.096      331.298      399.293  8.74238e+14       0        1242
         217      2554.19      2275.37      1397.19  9.42720e+14       0        1318
         218      2288.14      1144.87      1421.90  8.22466e+14       0        5331
         219      1093.27      1212.11      1084.53  5.04707e+14       0        2950
         220      1634.16      356.343      1911.88  6.01943e+14       0        4590
         221      1060.99      166.196      1795.24  8.02554e+14       0        3765        4400
         222      1570.92      1565.89      64.4575  5.39179e+14       0        1882
         223      2059.96      627.585      2014.73  6.12339e+14       0        3432        5913
         225      420.972      222.839      1295.40  6.91855e+14       0         578        5313
         226      1628.17      2646.76      1728.67  6.92458e+14       0         129
         227      14.3421      180.469      1924.66  8.22158e+14       0        3400
         228      55.0900      1128.92      1773.54  6.77974e+14       0         280
         229      2155.23      446.368      1854.49  8.03318e+14       0        3333
         231      1918.30      2001.44      2382.20  6.86575e+14       0        5567
         233      2279.26      289.833      783.196  5.10964e+14       0         193
         234      1647.01      404.608      938.277  9.67671e+14       0        3758
         235      2280.62      404.958      101.456  7.56150e+14       0        3774
         237      1300.31      64.2361      1787.91  6.86994e+14       0        4336
         238      940.406      601.134      2311.62  6.31138e+14       0        2420
         239      1412.84      1948.27      1870.50  6.00120e+14       0        2161
         240      2415.26      1901.78      887.769  7.83044e+14       0        2551
         241      1372.65      1328.16      627.728  1.00699e+15       0        3239
         242      2306.75      1958.75      32.6204  7.86636e+14       0        2948
         243      1510.30      1471.35      1264.05  8.29589e+14       0        2642        4196
         244      48.1582      49.4884      938.804  1.02390e+15       0        3384
         248      1607.09      2507.72      2026.55  8.13651e+14       0         969
         249      142.606      1774.54      516.105  7.46566e+14       0        5254
         250      2146.12      369.024      581.863  8.60178e+14       0        5734
         251      1326.59      1789.86      1501.29  7.43352e+14       0        3994
         254      890.557      581.800      1339.10  6.61686e+14       0         664
         255      456.800      2649.39      1362.01  7.25828e+14       0         570
         256      2566.25      2090.03      1903.91  7.83471e+14       0        3463
         257      1065.71      536.962      1012.22  8.28025e+14       0        5955
         258      808.048      1700.53      1182.16  7.69847e+14       0        3297
         259      1911.27      1237.94      2222.92  7.83444e+14       0        5819
         260      355.976      1120.79      778.808  8.92415e+14       0        1059
         261      2453.03      382.344      889.406  7.48023e+14       0         439
         262      2657.98      2276.08      621.363  9.56498e+14       0         579
         263      484.708      30.8667      2230.42  8.15528e+14       0        3830
         265      1100.27      1944.77      1927.42  8.30945e+14       0         809
         266      1472.58      1112.84      2639.94  8.86134e+14       0        2083
         270      151.734      830.392      1233.67  5.07780e+14       0         219
         271      64.2335      1802.32      1470.04  8.76738e+14       0        6086
         272      2156.19      2471.36      1630.56  6.57111e+14       0        2553
         274      1403.61      90.6098      1095.61  6.83849e+14       0         664
         275      1815.29      2031.32      1429.28  6.83656e+14       0        1585
         276      1441.05      1727.15      1577.38  7.94511e+14       0        5669
         277      452.674      1519.25      1014.60  1.07725e+15       0        3469
         278      919.336      645.632      2503.68  7.27819e+14       0        5767
         279      2222.82      965.656      2482.61  6.94401e+14       0        3292
         280      1040.55      976.812      2374.66  7.30128e+14       0        1672
         281      1180.02      1950.38      1053.12  9.13112e+14       0        5746
         283      2307.86      1002.54      2531.73  5.32057e+14       0        3936
         284      320.138      484.613      2291.12  9.26657e+14       0        2027
         285      1679.19      278.040      1061.80  7.58134e+14       0         983        2223
         287      2303.85      716.635      1675.43  8.60813e+14       0        3025
         288      444.871      1158.00      2395.27  7.23076e+14       0        1955
         290      302.068      1690.03      421.503  9.01756e+14       0        4430
         292      2030.28      1367.00      221.809  5.22665e+14       0        3336
         293      703.268      2230.40      198.825  7.15280e+14       0           9
         294      1644.26      2546.26      2256.71  7.40675e+14       0        4144
         297      1292.64      2333.68      2296.65  8.39849e+14       0        1031
         299      215.689      2628.53      1303.12  6.67980e+14       0         155
         300      2351.28      154.230      2225.56  7.35994e+14       0        2926        5502
         302      2306.33      795.113      2396.01  7.04952e+14       0         383
         303      305.554      2157.94      1582.42  7.22227e+14       0        1217
         304      2486.80      884.948      2632.46  8.41188e+14       0        4511
         305      1949.48      221.154      15.8148  7.46420e+14       0        1143
         306      931.363      930.283      2179.77  5.82005e+14       0        4397
         307      52.6264      1102.78      1189.35  5.11538e+14       0        2062
         308      411.533      109.519      643.387  6.87078e+14       0        3357
         310      2216.04      2387.24      1784.88  5.61974e+14       0        1548
         312      2217.81      215.948      2637.04  8.41180e+14       0        3907
         313      761.091      1873.58      787.727  6.13684e+14       0        5138
         314      1064.24      1512.90      519.373  8.02005e+14       0        1754        2993
         315      1661.60      648.123      762.579  6.80289e+14       0         497
         316      290.902      2375.09      885.833  6.39804e+14       0        4197        6114
         318      1901.07      1768.09      1745.14  7.37554e+14       0        3654
         320      2259.81      469.410      2376.33  9.62435e+14       0        5751
         321      2410.72      1352.38      2363.73  7.71808e+14       0        4245
         322      371.061      1244.52      487.053  8.32977e+14       0        1941
         323      2145.49      1354.41      1772.90  7.79991e+14       0        4901
         324      1572.08      189.279      917.847  9.00747e+14       0        5728
         325      1044.02      158.210      1137.57  6.93354e+14       0        4176
         326      1861.25      382.190      1597.00  6.11046e+14       0        2737        4934
         327      88.4186      2666.83      2337.52  7.79798e+14       0        5000
         329      2270.95      936.311      2502.51  9.03895e+14       0        3292        3936
         330      1305.90      1768.75      1489.40  8.76054e+14       0        3994
         331      1206.59      103.015      560.969  6.42260e+14       0        1531
         332      217.847      1767.01      1608.83  5.88363e+14       0        5382
         334      1995.80      136.903      1457.46  5.90676e+14       0        6024
         335      999.116      1551.09      54.9993  6.61189e+14       0        1397
         336      2265.21      2434.67      365.091  7.12377e+14       0        3829
         337      2518.85      2279.24      2240.96  6.27504e+14       0        3989
         338      2536.89      1999.04      1432.53  7.44928e+14       0         849
         340      2637.56      1602.27      2628.06  5.02539e+14       0        3138
         341      1224.74      702.925      1149.12  5.80050e+14       0        4208
         343      1050.56      797.236      333.430  7.46848e+14       0        5591        5711
         344      2247.57      2473.30      2109.16  6.79544e+14       0        1357
         346      1135.27      2542.35      1971.30  7.68316e+14       0        4907
         347      2515.40      1403.16      915.150  8.26667e+14       0        3387
         349      1251.13      1921.53      2638.44  6.69790e+14       0         961
         350      2478.32      221.127      937.772  7.18705e+14       0        4197
         351      2570.70      321.054      634.029  8.43902e+14       0         844
         352      2267.42      922.013      815.141  8.15020e+14       0         659        1340        4395        5735
         354      2290.48      2629.87      1842.46  7.45235e+14       0        2420
         355      511.044      2182.84      2431.79  7.64580e+14       0        2864        3511
         356      2547.69      75.4760      550.965  5.93326e+14       0        4432
         357      2556.93      942.762      5.16626  6.94755e+14       0        1823
         358      359.943      504.050      1598.98  1.09976e+15       0        2057        3973
         360      1181.26      2332.68      1860.88  5.76366e+14       0        2605
         361      916.296      8.18758      305.823  6.77405e+14       0         479
         362      854.788      2293.13      1515.54  8.25050e+14       0        2345
         363      1774.41      2408.16      485.262  6.38991e+14       0         869
         364      903.773      1735.28      1560.20  7.19426e+14       0        4805
         366      2586.16      1451.33      2598.86  9.12759e+14       0        1875
         369      1804.89      2260.63      2103.40  5.73580e+14       0        1057
         370      1448.62      1050.09      67.9316  6.70185e+14       0         751
         371      1869.03      1763.15      2347.56  7.11818e+14       0        3826        4228
         372      1648.01      917.171      768.960  9.20331e+14       0         910
         373      2325.13      2139.43      50.3851  9.00067e+14       0        6125
         374      143.821      1467.71      2433.70  7.52822e+14       0        1841
         375      1529.66      2320.40      676.897  8.83444e+14       0        2815
         376      2411.72      1302.86      244.308  6.48506e+14       0        1453
         377      2060.29      1912.55      1518.61  7.43086e+14       0        4593
         378      1240.47      978.879      1376.08  6.97363e+14       0        5422
         379      983.984      2181.18      372.399  8.66654e+14       0        4245
         380      742.038      1552.68      1894.48  9.06745e+14       0        3273
         381      823.933      2191.23      1852.93  5.15709e+14       0        2930
         382      2013.53      2615.79      748.257  5.20815e+14       0         330
         384      1008.10      1223.51      1200.21  5.63013e+14       0        2260        4645
         385      1311.04      453.531      2275.70  7.68842e+14       0        3237
         386      1057.63      1815.44      429.898  6.65052e+14       0        2643
         387      474.455      1092.78      1422.95  6.83690e+14       0         786
         388      155.892      1723.45      699.474  6.24332e+14       0        4433
         389      238.422      285.648      609.783  8.06912e+14       0          27
         390      795.029      1937.05      2401.74  9.22155e+14       0        2057
         391      2223.58      2466.13      1541.40  7.16175e+14       0        3307
         392      1076.70      1409.04      1143.05  9.36204e+14       0        3155
         393      1794.19      163.455      393.205  6.12982e+14       0        4955
         394      1660.67      1643.12      2293.02  7.40175e+14       0        3896
         395      1645.88      1355.94      973.011  7.27766e+14       0        2791
         396      1707.68      102.580      914.670  5.23242e+14       0        1762
         398      1803.64      191.278      663.806  6.95402e+14       0        3916
         400      2628.55      972.472      545.134  8.44765e+14       0         429
         402      1889.36      2514.08      995.187  6.65215e+14       0        4041
         403      2064.13      1601.25      2068.00  8.05838e+14       0        1899
         404      966.420      373.716      2530.66  5.45081e+14       0        4066
         405      1551.49      1312.86      2501.40  5.95524e+14       0         592
         406      646.305      528.686      906.764  6.87757e+14       0        3307
         407      1452.96      2250.81      129.169  7.85104e+14       0         105
         408      1151.67      919.445      512.429  6.76598e+14       0        2410
         410      1982.03      663.162      138.552  7.70081e+14       0        2744
         411      580.722      318.200      2300.07  6.70501e+14       0        4375
         413      1861.50      705.496      857.993  5.48635e+14       0        2139
         414      487.470      400.628      1389.12  6.59622e+14       0         438
         415      1216.31      1392.55      9.42716  8.04187e+14       0         268
         417      400.862      1098.18      90.0812  6.42273e+14       0         943
         418      672.231      1521.83      1004.77  7.47548e+14       0        2756        2832
         419      930.938      2152.67      2282.08  7.38743e+14       0        5120
         420      1271.65      326.795      919.490  5.13962e+14       0        4860
         421      1115.48      2399.41      1573.10  9.36363e+14       0        1747
         424      2397.96      1039.67      2448.61  7.18421e+14       0         422
         425      2202.20      1595.18      2064.21  6.17981e+14       0         917        1899
         426      2446.26      1608.84      2288.57  7.27630e+14       0        3354
         427      2640.41      2553.95      1050.70  8.84108e+14       0        2894
         429      2495.70      390.986      762.668  7.25082e+14       0         138
         430      2244.26      681.829      1843.82  7.87954e+14       0        4049
         431      1884.55      504.191      1850.48  5.98164e+14       0        2087        2754        4893        5026
         432      2184.38      1222.72      1394.00  8.44466e+14       0         399        5501
         433      2444.51      2537.18      824.235  9.50211e+14       0        4800
         434      2116.68      79.2658      111.557  9.66928e+14       0         696
         435      1481.83      1465.70      1542.76  6.08021e+14       0        3875
         436      992.808      734.396      2385.71  7.76366e+14       0        5081
         438      114.900      2541.48      2525.72  6.05510e+14       0        2822
         439      722.667      166.987      687.741  9.42202e+14       0        1200        1446
         440      1788.52      2098.89      1494.25  7.75216e+14       0        1585        4566
         441      2418.43      1702.37      2629.68  6.15107e+14       0        4540
         442      2639.00      1262.73      857.974  7.60041e+14       0        5527
         443      864.628      905.760      1144.32  7.27903e+14       0        4859
         444      26.9920      1236.21      1916.82  8.66302e+14       0         248
         445      1585.50      1029.96      2364.81  8.81532e+14       0        5241
         446      2354.54      2687.56      275.547  5.99777e+14       0        1884        3024        4774        5297
         448      1441.09      146.720      764.629  6.84452e+14       0        1203
         449      1048.28      2074.70      344.648  5.79166e+14       0        2943
         451      2257.08      281.414      1225.55  8.29352e+14       0        3754
         452      276.008      1301.07      2659.50  8.64520e+14       0        1675
         453      2258.65      1421.66      1847.46  7.55707e+14       0        4256        4739
         454      238.941      466.999      2095.78  9.29724e+14       0        2906
         456      358.661      718.927      715.584  6.75457e+14       0        3461
         457      242.639      1561.61      1434.07  8.36581e+14       0        2333
         459      1841.30      2459.89      1723.52  8.36182e+14       0        1246
         460      1097.93      2293.95      1393.93  8.09441e+14       0        2569
         462      1535.79      585.614      1998.59  7.21588e+14       0         996
         464      530.080      759.850      2182.86  6.30303e+14       0         873        1517
         466      1776.02      1938.92      2002.65  6.41080e+14       0        2586
         467      1354.82      2505.89      645.217  6.26523e+14       0        4381
         468      808.695      637.984      76.9498  5.93579e+14       0        5916
         469      747.850      2603.03      129.388  5.91758e+14       0        1518
         470      888.251      290.680      2084.83  8.09754e+14       0         400
         471      1931.40      1900.73      2669.65  8.29731e+14       0        1548
         472      2360.72      660.347      2084.35  8.67815e+14       0        1561
         473      93.1509      120.528      1524.87  8.42918e+14       0        3133
         474      959.619      1005.77      946.764  6.54807e+14       0        5660        5999
         475      56.8276      2412.00      1231.73  6.79809e+14       0        3073
         476      2148.87      1092.37      1853.85  7.28228e+14       0        2764
         478      1346.00      1600.56      457.148  7.87470e+14       0        1793        6119
         479      1086.44      679.541      2574.85  6.49899e+14       0        3790
         480      2641.19      611.626      2443.57  6.71976e+14       0        3789
         482      330.062      255.341      1543.14  7.06683e+14       0        5789
         486      1610.33      1839.57      1491.13  6.81566e+14       0        5483
         487      731.255      475.344      2376.50  6.74254e+14       0        4305
         488      1955.34      900.229      1693.26  7.00877e+14       0        6087
         489      1570.45      572.153      2137.35  7.35177e+14       0        2056
         490      1853.38      1475.74      1278.59  7.08113e+14       0        1186
         491      2570.92      1228.66      2563.90  6.40512e+14       0        4336
         492      2598.52      95.4811      1118.50  7.17079e+14       0        3720
         493      1538.70      884.863      1851.42  6.97852e+14       0        1362
         495      2393.17      87.3733      1175.58  6.63326e+14       0         714         841
         496      315.502      2478.07      2018.37  5.99407e+14       0        1628        4564
         497      2336.33      865.048      2033.57  6.73729e+14       0        2202
         498      964.326      1661.93      1009.85  6.91014e+14       0        4712        5723
         499      1154.15      1914.57      772.419  6.41331e+14       0        2953
         500      1818.30      558.354      972.553  9.86350e+14       0        4794
         502      2410.96      2551.39      849.365  8.19480e+14       0        4476
         503      1035.42      1083.54      2586.74  6.86241e+14       0         554
         505      1044.88      1689.60      345.226  6.53101e+14       0         656
         506      1837.52      2177.22      2100.71  6.91648e+14       0        2383        3637
         507      798.567      2236.53      1960.05  8.13921e+14       0        2930        4031
         508      1115.07      1023.83      231.696  8.29251e+14       0        4649
         509      1867.55      1056.28      2353.20  8.34175e+14       0        5224        5463
         511      1527.48      1190.81      1808.67  7.80498e+14       0         123
         512      1461.13      1638.31      2629.23  5.78327e+14       0         725
         514      2265.01      2657.95      309.990  6.49567e+14       0        1884
         515      158.167      2648.77      2516.56  6.37349e+14       0        5544
         516      130.615      501.350      1543.76  8.69816e+14       0         977        2353
         519      2232.08      1131.45      367.074  5.00762e+14       0        3703
         520      2118.08      1179.53      2280.70  5.90496e+14       0         443
         522      163.502      641.260      667.086  7.75167e+14       0        5600
         523      1047.43      2370.15      2120.47  6.37342e+14       0        4321
         524      666.942      635.753      1377.77  7.38604e+14       0        3009
         525      2665.85      2369.28      2583.26  6.38947e+14       0        5368
         526      2028.86      426.779      480.458  7.50529e+14       0        2194
         527      258.192      2350.43      908.793  7.34875e+14       0        2637
         528      346.880      352.961      414.916  7.18981e+14       0        2158
         529      1886.74      2623.12      2464.00  6.54389e+14       0        3658
         530      1712.01      536.622      1889.47  7.09599e+14       0         397
         531      235.098      1721.29      2416.51  7.07734e+14       0        2173
         532      1837.91      2258.64      1029.80  7.43294e+14       0        2145
         533      1945.74      853.400      1495.04  5.02017e+14       0        3002
         534      1489.84      646.725      554.142  5.01583e+14       0        2961
         537      2141.18      968.889      1474.84  6.38579e+14       0        2481
         538      585.184      2297.18      2554.18  6.28972e+14       0         738
         539      1573.95      94.4283      2393.99  6.51066e+14       0         448        1213
         540      1692.52      1166.94      1718.27  7.82233e+14       0        1100
         542      584.781      1187.93      1739.78  6.83770e+14       0        6009
         544      1415.87      802.703      1928.33  7.49032e+14       0        1466
         546      1505.54      2094.04      1212.49  6.08599e+14       0        3207
         547      2238.41      659.545      703.522  7.43494e+14       0        1018
         548      291.574      1508.97      570.513  7.25437e+14       0        4706
         549      689.221      1168.49      627.717  5.89853e+14       0        5804
         550      1747.03      2486.85      2152.10  6.12792e+14       0        1639
         551      1363.34      2025.88      1520.83  7.85729e+14       0         187
         552      2566.54      1008.48      1475.31  7.60877e+14       0        3729        4359
         554      2100.38      2664.17      405.905  5.99377e+14       0        4120
